blob_min,fg_min,score_weak,strong_rprom_min,strong_n_dirs_min,n_strong,n_weak,n_accept
0.1,0.35,0.18,1.0,3,378,1744,2122
0.1,0.35,0.22,1.0,3,378,1547,1925
0.1,0.35,0.26,1.0,3,378,1269,1647
0.1,0.35,0.3,1.0,3,378,977,1355
0.1,0.45,0.18,1.0,3,378,1744,2122
0.1,0.45,0.22,1.0,3,378,1547,1925
0.1,0.45,0.26,1.0,3,378,1269,1647
0.1,0.45,0.3,1.0,3,378,977,1355
0.1,0.55,0.18,1.0,3,378,1738,2116
0.1,0.55,0.22,1.0,3,378,1542,1920
0.1,0.55,0.26,1.0,3,378,1264,1642
0.1,0.55,0.3,1.0,3,378,972,1350
0.1,0.65,0.18,1.0,3,378,1659,2037
0.1,0.65,0.22,1.0,3,378,1477,1855
0.1,0.65,0.26,1.0,3,378,1206,1584
0.1,0.65,0.3,1.0,3,378,925,1303
0.15,0.35,0.18,1.0,3,378,1641,2019
0.15,0.35,0.22,1.0,3,378,1483,1861
0.15,0.35,0.26,1.0,3,378,1245,1623
0.15,0.35,0.3,1.0,3,378,971,1349
0.15,0.45,0.18,1.0,3,378,1641,2019
0.15,0.45,0.22,1.0,3,378,1483,1861
0.15,0.45,0.26,1.0,3,378,1245,1623
0.15,0.45,0.3,1.0,3,378,971,1349
0.15,0.55,0.18,1.0,3,378,1635,2013
0.15,0.55,0.22,1.0,3,378,1478,1856
0.15,0.55,0.26,1.0,3,378,1240,1618
0.15,0.55,0.3,1.0,3,378,966,1344
0.15,0.65,0.18,1.0,3,378,1557,1935
0.15,0.65,0.22,1.0,3,378,1413,1791
0.15,0.65,0.26,1.0,3,378,1182,1560
0.15,0.65,0.3,1.0,3,378,919,1297
0.2,0.35,0.18,1.0,3,378,1487,1865
0.2,0.35,0.22,1.0,3,378,1376,1754
0.2,0.35,0.26,1.0,3,378,1197,1575
0.2,0.35,0.3,1.0,3,378,957,1335
0.2,0.45,0.18,1.0,3,378,1487,1865
0.2,0.45,0.22,1.0,3,378,1376,1754
0.2,0.45,0.26,1.0,3,378,1197,1575
0.2,0.45,0.3,1.0,3,378,957,1335
0.2,0.55,0.18,1.0,3,378,1481,1859
0.2,0.55,0.22,1.0,3,378,1371,1749
0.2,0.55,0.26,1.0,3,378,1192,1570
0.2,0.55,0.3,1.0,3,378,952,1330
0.2,0.65,0.18,1.0,3,378,1404,1782
0.2,0.65,0.22,1.0,3,378,1306,1684
0.2,0.65,0.26,1.0,3,378,1134,1512
0.2,0.65,0.3,1.0,3,378,905,1283
0.25,0.35,0.18,1.0,3,378,1326,1704
0.25,0.35,0.22,1.0,3,378,1241,1619
0.25,0.35,0.26,1.0,3,378,1115,1493
0.25,0.35,0.3,1.0,3,378,920,1298
0.25,0.45,0.18,1.0,3,378,1326,1704
0.25,0.45,0.22,1.0,3,378,1241,1619
0.25,0.45,0.26,1.0,3,378,1115,1493
0.25,0.45,0.3,1.0,3,378,920,1298
0.25,0.55,0.18,1.0,3,378,1320,1698
0.25,0.55,0.22,1.0,3,378,1236,1614
0.25,0.55,0.26,1.0,3,378,1110,1488
0.25,0.55,0.3,1.0,3,378,915,1293
0.25,0.65,0.18,1.0,3,378,1244,1622
0.25,0.65,0.22,1.0,3,378,1171,1549
0.25,0.65,0.26,1.0,3,378,1052,1430
0.25,0.65,0.3,1.0,3,378,868,1246
0.3,0.35,0.18,1.0,3,377,1142,1519
0.3,0.35,0.22,1.0,3,377,1074,1451
0.3,0.35,0.26,1.0,3,377,987,1364
0.3,0.35,0.3,1.0,3,377,847,1224
0.3,0.45,0.18,1.0,3,377,1142,1519
0.3,0.45,0.22,1.0,3,377,1074,1451
0.3,0.45,0.26,1.0,3,377,987,1364
0.3,0.45,0.3,1.0,3,377,847,1224
0.3,0.55,0.18,1.0,3,377,1136,1513
0.3,0.55,0.22,1.0,3,377,1069,1446
0.3,0.55,0.26,1.0,3,377,982,1359
0.3,0.55,0.3,1.0,3,377,842,1219
0.3,0.65,0.18,1.0,3,377,1061,1438
0.3,0.65,0.22,1.0,3,377,1004,1381
0.3,0.65,0.26,1.0,3,377,924,1301
0.3,0.65,0.3,1.0,3,377,795,1172
