ty,tx,skel_len_um_per_mm2,endpoint_per_mm2,mean_thick_um
0,400,467508.2,191017.0,1.916
0,800,501875.4,98633.0,2.095
0,1200,488340.5,105587.0,1.895
0,1600,453260.1,62167.0,2.699
400,0,475131.1,82272.0,2.17
400,400,494166.6,100362.0,2.162
400,800,536143.7,118013.0,1.742
400,1200,556984.5,127489.0,1.601
400,1600,476720.2,93744.0,2.079
400,2000,548447.3,91138.0,2.031
400,2400,484260.9,107013.0,1.753
800,0,531037.3,110658.0,1.757
800,400,546799.0,127370.0,1.555
800,800,552727.8,123021.0,1.729
800,1200,561287.9,133257.0,1.513
800,1600,521391.0,113901.0,1.675
800,2000,551509.6,107312.0,1.689
800,2400,512488.8,105318.0,1.745
800,2800,563795.0,163419.0,1.585
1200,0,526584.2,109685.0,1.662
1200,400,535641.5,107636.0,1.741
1200,800,543179.5,107511.0,1.738
1200,1200,571046.7,100240.0,1.803
1200,1600,571347.0,138340.0,1.4
1200,2000,591580.2,134543.0,1.497
1200,2400,547112.4,136692.0,1.629
1200,2800,503968.8,101999.0,1.731
1600,0,535953.1,104758.0,1.786
1600,400,522623.6,112279.0,1.774
1600,800,557516.2,125001.0,1.567
1600,1200,619020.4,116583.0,1.452
1600,1600,613856.2,117144.0,1.458
1600,2000,522703.6,121473.0,1.737
1600,2400,566965.5,116255.0,1.619
1600,2800,480776.7,111838.0,1.68
2000,0,480914.6,101672.0,1.869
2000,400,525794.3,124078.0,1.662
2000,800,551069.8,112747.0,1.795
2000,1200,543086.6,101164.0,1.771
2000,1600,539608.2,123457.0,1.66
2000,2000,554084.5,117575.0,1.674
2000,2400,554227.0,109159.0,1.598
2000,2800,470951.7,151675.0,1.958
2400,0,545618.7,96531.0,1.745
2400,400,523689.1,103740.0,1.825
2400,800,554791.3,104315.0,1.732
2400,1200,542491.3,111598.0,1.713
2400,1600,547685.1,100613.0,1.843
2400,2000,524352.6,81741.0,1.88
2400,2400,588817.2,126423.0,1.74
2800,0,597031.8,94903.0,1.547
2800,400,544307.1,100768.0,1.641
2800,800,518839.1,109313.0,1.718
2800,1200,544560.8,118307.0,1.695
2800,1600,529930.2,99449.0,1.696
2800,2000,483570.6,138778.0,1.845
