image,condition,ty,tx,fg_fraction,skel_len_per_mm2,branch_per_mm2,endpoint_per_mm2,endpoint_branch_ratio,mean_thickness_um,ramification,cluster
F_HET_3,HET,2600,600,0.2517,495712.5,46364.9,74183.8,1.524,2.178,9.35,1
F_HET_3,HET,2600,800,0.1477,657201.0,67130.6,106619.2,1.5,1.531,10.21,2
F_HET_3,HET,2600,1000,0.1055,617175.8,88505.4,127226.5,1.353,1.434,14.34,2
F_HET_3,HET,2600,1200,0.1866,543745.3,65669.7,81305.4,1.182,2.012,12.08,1
F_HET_3,HET,2600,1400,0.3997,478287.8,70061.5,58384.6,0.816,2.574,14.65,0
F_HET_3,HET,2600,1600,0.286,514763.0,53040.4,87720.6,1.593,2.127,10.3,1
F_HET_3,HET,2600,1800,0.1736,590035.8,67226.8,104201.5,1.476,1.625,11.39,2
F_HET_3,HET,2600,2000,0.0863,617159.6,60845.9,155495.0,2.3,1.324,9.86,3
F_HET_3,HET,2600,2200,0.2448,573218.3,61960.8,90558.1,1.407,1.777,10.81,1
F_HET_3,HET,2600,2400,0.3586,513941.8,63453.2,61826.2,0.95,2.144,12.35,0
F_HET_3,HET,2600,2600,0.1148,634097.4,81280.9,152401.6,1.765,1.389,12.82,2
F_HET_3,HET,2600,2800,0.2363,548468.4,59264.2,101243.1,1.64,1.92,10.81,1
F_HET_3,HET,2600,3000,0.055,612038.3,75813.0,189532.5,2.143,1.491,12.39,2
F_HET_3,HET,2800,400,0.0532,562737.3,65771.1,109618.4,1.429,1.933,11.69,3
F_HET_3,HET,2800,600,0.3495,512118.8,68444.1,48411.7,0.69,2.509,13.36,0
F_HET_3,HET,2800,800,0.145,609800.3,80488.9,116709.0,1.381,1.514,13.2,2
F_HET_3,HET,2800,1000,0.0986,568343.3,53255.6,142014.8,2.4,1.522,9.37,3
F_HET_3,HET,2800,1200,0.366,527603.1,68542.0,86076.0,1.227,2.448,12.99,0
F_HET_3,HET,2800,1400,0.373,503234.1,70398.1,62576.1,0.87,2.526,13.99,0
F_HET_3,HET,2800,1600,0.1196,489858.9,53672.5,78069.1,1.333,2.028,10.96,1
F_HET_3,HET,2800,1800,0.2016,582370.4,95516.1,98410.5,1.0,1.704,16.4,2
F_HET_3,HET,2800,2000,0.4,491274.7,55430.7,53972.0,0.949,2.396,11.28,0
F_HET_3,HET,2800,2200,0.1171,543762.0,59814.9,104676.0,1.615,1.787,11.0,3
F_HET_3,HET,2800,2400,0.1541,480505.1,56801.3,71948.3,1.188,2.461,11.82,1
F_HET_3,HET,2800,2600,0.2632,480889.2,64285.3,68718.7,1.033,2.347,13.37,0
F_HET_3,HET,2800,2800,0.0676,621730.6,77677.5,86308.3,1.0,1.812,12.49,2
F_HET_3,HET,3000,600,0.0813,523216.9,51235.5,111010.2,1.857,1.606,9.79,3
F_HET_3,HET,3000,800,0.1688,517933.0,57614.0,119343.2,1.933,1.795,11.12,3
F_HET_3,HET,3000,1000,0.1656,412342.5,46130.4,75486.0,1.5,2.249,11.19,1
F_HET_3,HET,3000,1200,0.115,497723.4,54372.2,84579.0,1.4,2.4,10.92,1
F_HET_3,HET,3000,1800,0.4259,540519.9,71763.3,47298.6,0.644,2.529,13.28,0
F_HET_3,HET,3000,2000,0.5341,472943.8,66318.9,59817.1,0.885,2.85,14.02,0
F_HET_3,HET,3000,2200,0.0575,409865.8,48293.4,48293.4,0.8,2.824,11.78,0
