image,condition,ty,tx,fg_fraction,skel_len_per_mm2,branch_per_mm2,endpoint_per_mm2,endpoint_branch_ratio,mean_thickness_um,ramification,cluster
F_WT_2,WT,2200,400,0.3143,620964.3,76109.5,74253.2,0.952,1.627,12.26,1
F_WT_2,WT,2200,600,0.1384,687637.9,63234.6,84312.7,1.25,1.368,9.2,2
F_WT_2,WT,2200,800,0.1312,714463.9,93404.4,93404.4,0.955,1.391,13.07,2
F_WT_2,WT,2200,1000,0.1347,693973.7,73634.4,116948.7,1.5,1.303,10.61,2
F_WT_2,WT,2200,1200,0.1703,605106.2,71966.7,116517.5,1.545,1.554,11.89,2
F_WT_2,WT,2200,1400,0.2393,580396.5,65829.5,70705.7,1.036,1.762,11.34,1
F_WT_2,WT,2200,1600,0.2122,610622.6,71478.6,87973.7,1.185,1.567,11.71,1
F_WT_2,WT,2200,1800,0.1246,623125.4,60860.8,140447.9,2.143,1.43,9.77,3
F_WT_2,WT,2200,2000,0.2462,500409.9,52140.8,68731.1,1.261,1.744,10.42,1
F_WT_2,WT,2200,2200,0.1791,528076.0,61903.9,114033.5,1.75,1.645,11.72,3
F_WT_2,WT,2200,2400,0.1961,614104.9,80341.7,110097.8,1.321,1.563,13.08,2
F_WT_2,WT,2200,2600,0.1461,551278.4,39927.7,103812.1,2.364,1.527,7.24,3
F_WT_2,WT,2200,2800,0.187,551052.8,62417.1,62417.1,0.952,1.813,11.33,1
F_WT_2,WT,2400,400,0.2833,617239.0,76193.2,90608.1,1.158,1.744,12.34,1
F_WT_2,WT,2400,600,0.1617,656419.4,64937.4,108228.9,1.579,1.466,9.89,2
F_WT_2,WT,2400,800,0.1218,613528.6,76611.5,114917.2,1.412,1.634,12.49,2
F_WT_2,WT,2400,1000,0.1908,572215.6,85620.7,116199.6,1.31,1.815,14.96,2
F_WT_2,WT,2400,1200,0.2568,589813.2,70438.2,61349.4,0.844,1.655,11.94,1
F_WT_2,WT,2400,1400,0.1782,576674.3,62199.1,98209.1,1.5,1.624,10.79,1
F_WT_2,WT,2400,1600,0.1073,465983.2,43500.0,87000.1,1.778,1.458,9.34,3
F_WT_2,WT,2400,1800,0.1699,604931.0,85851.1,89285.2,1.0,1.622,14.19,2
F_WT_2,WT,2400,2000,0.1668,526548.3,52483.7,97969.6,1.75,1.707,9.97,3
F_WT_2,WT,2400,2200,0.2101,572029.4,72210.2,80542.1,1.074,1.678,12.62,1
F_WT_2,WT,2400,2400,0.2654,573429.7,59361.3,96736.9,1.571,1.701,10.35,1
F_WT_2,WT,2400,2600,0.2057,523594.0,65221.0,110592.1,1.625,1.866,12.46,1
F_WT_2,WT,2400,2800,0.2047,526215.5,56997.8,111145.8,1.857,1.771,10.83,3
F_WT_2,WT,2600,400,0.2021,513202.9,69268.7,66382.5,0.92,1.782,13.5,1
F_WT_2,WT,2600,600,0.2653,614902.0,76957.0,70360.7,0.889,1.664,12.52,1
F_WT_2,WT,2600,800,0.1822,603781.9,76842.7,70439.1,0.88,1.536,12.73,1
F_WT_2,WT,2600,1000,0.1436,696621.4,85352.3,101609.9,1.136,1.413,12.25,2
F_WT_2,WT,2600,1200,0.225,579839.0,59654.2,82997.2,1.333,1.636,10.29,1
F_WT_2,WT,2600,1400,0.134,550688.6,39186.5,74019.0,1.7,1.465,7.12,3
F_WT_2,WT,2600,1600,0.1536,597574.5,64573.9,110155.5,1.611,1.53,10.81,2
F_WT_2,WT,2600,1800,0.2086,546612.3,58743.0,89513.2,1.455,1.716,10.75,1
F_WT_2,WT,2600,2000,0.1667,578782.9,69988.8,111982.1,1.524,1.644,12.09,2
F_WT_2,WT,2600,2200,0.1479,518706.9,51300.5,106547.1,1.929,1.633,9.89,3
F_WT_2,WT,2600,2400,0.2157,577402.8,70343.4,86576.5,1.185,1.637,12.18,1
F_WT_2,WT,2600,2600,0.2875,532194.8,71021.8,87255.4,1.194,1.837,13.35,1
F_WT_2,WT,2600,2800,0.1152,530363.3,55698.7,121524.5,2.0,1.711,10.5,3
F_WT_2,WT,2800,400,0.1046,533433.1,66934.3,66934.3,0.923,1.615,12.55,1
F_WT_2,WT,2800,600,0.2425,583634.2,60142.7,98634.0,1.577,1.647,10.3,1
F_WT_2,WT,2800,800,0.2183,663739.6,77489.7,112226.5,1.4,1.576,11.67,2
F_WT_2,WT,2800,1000,0.1326,605914.8,61623.7,110042.3,1.667,1.553,10.17,3
F_WT_2,WT,2800,1200,0.1462,601283.7,55860.6,83790.9,1.4,1.535,9.29,1
F_WT_2,WT,2800,1400,0.1878,622991.7,65224.0,114918.5,1.682,1.565,10.47,2
F_WT_2,WT,2800,1600,0.2213,571938.8,63274.6,79093.2,1.2,1.773,11.06,1
F_WT_2,WT,2800,1800,0.1786,596342.8,58793.5,88190.3,1.421,1.504,9.86,1
F_WT_2,WT,2800,2000,0.1952,566050.7,62760.0,86668.6,1.318,1.625,11.09,1
F_WT_2,WT,2800,2200,0.1973,588867.6,62100.0,97585.7,1.5,1.671,10.55,1
F_WT_2,WT,2800,2400,0.1825,583760.7,86329.6,124698.3,1.393,1.598,14.79,2
F_WT_2,WT,2800,2600,0.2098,542269.4,63961.9,97333.4,1.458,1.67,11.8,1
F_WT_2,WT,3000,400,0.0384,456523.6,18077.3,90386.4,2.5,1.801,3.96,3
F_WT_2,WT,3000,600,0.1649,567778.9,67413.7,96907.1,1.353,1.697,11.87,1
F_WT_2,WT,3000,800,0.1142,545304.3,54754.9,121677.6,2.0,1.469,10.04,3
F_WT_2,WT,3000,1000,0.2112,682156.1,65777.2,72355.0,1.048,1.465,9.64,1
F_WT_2,WT,3000,1200,0.1967,570880.1,60030.6,81217.8,1.278,1.723,10.52,1
F_WT_2,WT,3000,1400,0.2182,641179.0,73219.0,66852.2,0.875,1.437,11.42,1
F_WT_2,WT,3000,1600,0.1421,650802.5,63564.0,97790.8,1.429,1.448,9.77,2
F_WT_2,WT,3000,1800,0.1767,587390.1,74674.6,86465.3,1.1,1.641,12.71,1
F_WT_2,WT,3000,2000,0.1403,535971.6,44556.6,99014.7,2.0,1.541,8.31,3
F_WT_2,WT,3000,2200,0.1468,553308.0,56771.4,61502.3,1.0,1.617,10.26,1
F_WT_2,WT,3000,2400,0.2098,547581.7,62905.0,92702.2,1.4,1.679,11.49,1
F_HET_1,HET,0,800,0.1561,554646.6,78477.7,115848.0,1.409,1.724,14.15,2
F_HET_1,HET,0,1000,0.393,481309.2,68299.9,69784.6,1.0,2.452,14.19,0
F_HET_1,HET,0,1200,0.235,470293.6,57109.1,89388.2,1.5,2.005,12.14,1
F_HET_1,HET,0,1400,0.2661,496072.3,57006.9,94280.7,1.593,2.064,11.49,1
F_HET_1,HET,0,1600,0.5165,456201.4,58739.8,46314.1,0.774,2.676,12.88,0
F_HET_1,HET,0,1800,0.0371,569683.7,62905.0,157262.6,2.0,2.259,11.04,3
F_HET_1,HET,200,600,0.0514,458185.3,45404.2,102159.5,1.8,1.959,9.91,3
F_HET_1,HET,200,800,0.2445,494845.6,59644.7,81116.8,1.308,2.073,12.05,1
F_HET_1,HET,200,1000,0.1528,512094.7,57265.9,103078.6,1.688,1.676,11.18,3
F_HET_1,HET,200,1200,0.1334,530631.3,65617.0,113736.1,1.625,1.625,12.37,3
F_HET_1,HET,200,1400,0.1226,460134.3,38079.2,90438.0,2.111,1.623,8.28,3
F_HET_1,HET,200,1600,0.3679,446845.1,49168.9,65029.8,1.281,2.788,11.0,0
F_HET_1,HET,400,0,0.3104,456789.4,62028.5,67667.5,1.059,2.543,13.58,0
F_HET_1,HET,400,200,0.2044,457218.2,54220.8,74196.9,1.3,2.186,11.86,1
F_HET_1,HET,400,400,0.1824,468854.0,63982.9,67182.1,1.0,2.615,13.65,0
F_HET_1,HET,400,600,0.2638,473386.0,61927.4,70774.1,1.103,2.345,13.08,0
F_HET_1,HET,400,800,0.1998,533879.9,52575.7,105151.4,1.895,1.793,9.85,3
F_HET_1,HET,400,1000,0.1427,457870.8,53151.9,114481.0,2.0,1.465,11.61,3
F_HET_1,HET,400,1200,0.131,560427.0,75699.7,111323.1,1.389,1.566,13.51,2
F_HET_1,HET,400,1400,0.1446,560530.2,60533.7,96854.0,1.5,1.465,10.8,3
F_HET_1,HET,400,1600,0.3859,481370.4,55944.1,71064.1,1.237,2.142,11.62,0
F_HET_1,HET,400,1800,0.0539,499209.8,86516.3,54072.7,0.556,2.293,17.33,1
F_HET_1,HET,600,0,0.2156,475025.3,56829.0,81184.3,1.364,2.051,11.96,1
F_HET_1,HET,600,200,0.1844,525996.9,69617.7,88604.4,1.217,1.736,13.24,1
F_HET_1,HET,600,400,0.187,486966.9,49920.4,112320.8,2.118,1.898,10.25,3
F_HET_1,HET,600,600,0.1575,566854.3,55583.8,107461.9,1.812,1.739,9.81,3
F_HET_1,HET,600,800,0.1408,609119.5,95323.9,107757.4,1.083,1.637,15.65,2
F_HET_1,HET,600,1000,0.2682,541170.9,56550.0,84825.1,1.444,1.892,10.45,1
F_HET_1,HET,600,1200,0.1267,540475.6,69073.9,110518.2,1.5,1.679,12.78,2
F_HET_1,HET,600,1400,0.1606,564008.2,61759.3,112620.0,1.722,1.693,10.95,3
F_HET_1,HET,600,1600,0.225,478850.8,54460.8,111515.1,1.955,1.844,11.37,3
F_HET_1,HET,600,1800,0.1256,448962.9,37154.7,74309.3,1.778,2.216,8.28,3
F_HET_1,HET,600,2000,0.0896,548447.3,71608.2,71608.2,0.917,2.031,13.06,1
F_HET_1,HET,600,2400,0.085,518613.2,41184.3,109824.8,2.286,1.661,7.94,3
F_HET_1,HET,600,2600,0.1113,458020.1,52432.6,83892.2,1.455,1.832,11.45,1
F_HET_1,HET,800,0,0.1768,515671.3,52792.9,102286.3,1.824,1.752,10.24,3
F_HET_1,HET,800,200,0.2003,550434.0,66987.2,99024.6,1.417,1.708,12.17,1
F_HET_1,HET,800,400,0.1008,534504.9,40527.0,98422.7,2.125,1.567,7.58,3
F_HET_1,HET,800,600,0.0911,568577.2,64026.8,96040.2,1.364,1.5,11.26,2
F_HET_1,HET,800,800,0.1052,590088.4,66552.6,127559.1,1.769,1.561,11.28,3
F_HET_1,HET,800,1000,0.2309,502130.9,50536.5,90965.7,1.714,1.992,10.06,1
F_HET_1,HET,800,1200,0.1017,553666.4,45917.9,114794.7,2.222,1.491,8.29,3
F_HET_1,HET,800,1400,0.1283,507180.5,63640.2,118188.9,1.733,1.544,12.55,3
F_HET_1,HET,800,1600,0.1308,477367.1,57987.6,107054.0,1.714,1.599,12.15,3
F_HET_1,HET,800,1800,0.2852,534839.5,61372.1,81829.5,1.29,1.767,11.47,1
F_HET_1,HET,800,2000,0.3333,541761.5,68274.9,71776.2,1.025,1.747,12.6,1
F_HET_1,HET,800,2200,0.2231,507776.9,62764.1,88915.7,1.36,1.867,12.36,1
F_HET_1,HET,800,2400,0.1885,492833.1,68112.3,108360.6,1.522,1.668,13.82,1
F_HET_1,HET,800,2600,0.2424,490367.6,50556.3,67408.4,1.273,1.955,10.31,1
F_HET_1,HET,1000,0,0.1888,512253.8,64878.6,108131.0,1.591,1.846,12.67,1
F_HET_1,HET,1000,200,0.1247,550112.5,70181.7,102933.2,1.375,1.713,12.76,1
F_HET_1,HET,1000,400,0.119,523797.8,39231.4,117694.1,2.667,1.694,7.49,3
F_HET_1,HET,1000,600,0.1105,564808.8,47498.8,110830.6,2.1,1.45,8.41,3
F_HET_1,HET,1000,800,0.1479,561183.7,67085.2,118385.7,1.667,1.671,11.95,3
F_HET_1,HET,1000,1000,0.1753,589825.4,66574.7,93204.6,1.333,1.582,11.29,1
F_HET_1,HET,1000,1200,0.1179,575450.6,74198.1,98930.8,1.25,1.448,12.89,2
F_HET_1,HET,1000,1400,0.1424,603758.7,77833.5,102412.5,1.25,1.556,12.89,2
F_HET_1,HET,1000,1600,0.0583,503825.3,50081.0,110178.3,1.833,1.474,9.94,3
F_HET_1,HET,1000,1800,0.1558,540300.0,63662.1,101110.4,1.5,1.636,11.78,1
F_HET_1,HET,1000,2000,0.1389,614954.8,79837.5,130261.2,1.55,1.486,12.98,2
F_HET_1,HET,1000,2200,0.0931,596569.7,68916.9,131568.6,1.75,1.454,11.55,2
F_HET_1,HET,1000,2400,0.0875,543668.0,53328.2,106656.5,1.778,1.586,9.81,3
F_HET_1,HET,1000,2600,0.1908,545701.9,79515.4,103981.7,1.259,1.646,14.57,1
F_HET_1,HET,1000,2800,0.0655,543939.2,44537.7,97983.0,1.833,1.665,8.19,3
F_HET_1,HET,1200,0,0.2138,532061.8,76401.0,106415.6,1.345,1.655,14.36,1
F_HET_1,HET,1200,200,0.1392,533587.4,46105.5,100593.8,2.0,1.669,8.64,3
F_HET_1,HET,1200,400,0.2134,513433.6,54693.6,82040.4,1.429,1.899,10.65,1
F_HET_1,HET,1200,600,0.1608,540606.3,79799.6,101563.2,1.217,1.706,14.76,1
F_HET_1,HET,1200,800,0.1166,553229.7,50048.8,115112.3,2.091,1.734,9.05,3
F_HET_1,HET,1200,1000,0.2251,520318.7,62192.6,75149.4,1.16,1.982,11.95,1
F_HET_1,HET,1200,1200,0.2622,512565.5,53394.3,64518.1,1.16,2.189,10.42,0
F_HET_1,HET,1200,1400,0.1219,540071.8,81383.0,110106.4,1.278,1.674,15.07,2
F_HET_1,HET,1200,1600,0.1005,606718.1,75451.6,139295.3,1.714,1.395,12.44,2
F_HET_1,HET,1200,1800,0.0651,586015.4,62711.9,98547.2,1.375,1.404,10.7,2
F_HET_1,HET,1200,2000,0.1105,605641.2,52812.3,110905.9,1.909,1.401,8.72,3
F_HET_1,HET,1200,2200,0.068,505994.7,77192.2,137230.5,1.6,1.48,15.26,2
F_HET_1,HET,1200,2400,0.0895,679136.9,78270.9,104361.2,1.231,1.258,11.53,2
F_HET_1,HET,1200,2600,0.1888,473243.2,46341.9,105041.6,2.125,1.844,9.79,3
F_HET_1,HET,1200,2800,0.2439,525325.8,69365.1,76540.8,1.067,1.71,13.2,1
F_HET_1,HET,1200,3000,0.1604,477891.5,60640.1,90960.1,1.4,1.868,12.69,1
F_HET_1,HET,1400,0,0.2445,499494.6,59669.1,81149.9,1.308,1.707,11.95,1
F_HET_1,HET,1400,200,0.1206,563690.5,58042.1,116084.2,1.846,1.585,10.3,3
F_HET_1,HET,1400,400,0.159,572812.1,66060.7,121111.2,1.737,1.594,11.53,3
F_HET_1,HET,1400,600,0.1336,520892.7,48056.1,96112.1,1.833,1.73,9.23,3
F_HET_1,HET,1400,800,0.0805,563932.0,36227.5,115928.1,2.667,1.481,6.42,3
F_HET_1,HET,1400,1000,0.1638,557243.5,49851.8,96142.8,1.8,1.557,8.95,3
F_HET_1,HET,1400,1200,0.114,679993.3,30700.9,92102.6,2.571,1.269,4.51,3
F_HET_1,HET,1400,1400,0.2061,603498.5,84916.1,107560.4,1.226,1.787,14.07,2
F_HET_1,HET,1400,1600,0.0976,609895.6,59763.8,131480.4,2.0,1.458,9.8,3
F_HET_1,HET,1400,1800,0.0868,475993.6,47065.5,107578.3,2.0,1.318,9.89,3
F_HET_1,HET,1400,2000,0.1014,605948.1,80514.7,120772.1,1.4,1.746,13.29,2
F_HET_1,HET,1400,2200,0.0973,620462.1,47958.4,89922.0,1.667,1.358,7.73,3
F_HET_1,HET,1400,2400,0.1383,547440.0,67486.8,147627.3,2.059,1.583,12.33,3
F_HET_1,HET,1400,2600,0.1425,561813.5,65498.0,114621.6,1.647,1.713,11.66,3
F_HET_1,HET,1400,2800,0.1655,541389.7,63446.6,109269.1,1.632,1.624,11.72,3
F_HET_1,HET,1400,3000,0.0808,387754.1,42963.5,103112.4,2.0,1.867,11.08,3
F_HET_1,HET,1600,0,0.1983,530475.2,58844.6,88266.9,1.429,1.927,11.09,1
F_HET_1,HET,1600,200,0.2135,541420.4,62860.8,95657.8,1.458,1.773,11.61,1
F_HET_1,HET,1600,400,0.1819,499360.9,51327.0,93030.3,1.706,2.022,10.28,3
F_HET_1,HET,1600,600,0.1435,561362.8,56921.4,105711.1,1.733,1.615,10.14,3
F_HET_1,HET,1600,800,0.1484,529627.4,66814.1,74674.6,1.056,1.556,12.62,1
F_HET_1,HET,1600,1000,0.0936,637583.1,49880.3,105995.7,1.889,1.316,7.82,3
F_HET_1,HET,1600,1200,0.1542,616596.2,64343.5,68128.4,1.0,1.408,10.44,1
F_HET_1,HET,1600,1400,0.0696,675495.0,75499.6,134221.5,1.6,1.308,11.18,2
F_HET_1,HET,1600,1600,0.0839,533731.5,76448.9,90348.7,1.083,1.563,14.32,1
F_HET_1,HET,1600,1800,0.1454,635537.8,64214.0,96321.0,1.412,1.378,10.1,2
F_HET_1,HET,1600,2000,0.1626,522321.6,68197.1,93322.4,1.3,1.69,13.06,1
F_HET_1,HET,1600,2200,0.1694,524650.4,79204.5,110197.5,1.333,1.671,15.1,2
F_HET_1,HET,1600,2400,0.1346,559898.4,60685.1,95362.3,1.467,1.519,10.84,3
F_HET_1,HET,1600,2600,0.219,583327.0,63924.5,101213.8,1.52,1.637,10.96,1
F_HET_1,HET,1600,2800,0.1435,520964.8,56921.4,126040.2,2.067,1.567,10.93,3
F_HET_1,HET,1800,0,0.0895,572313.3,71728.3,110852.8,1.417,1.567,12.53,2
F_HET_1,HET,1800,200,0.2228,520986.7,68093.6,86426.5,1.222,1.767,13.07,1
F_HET_1,HET,1800,400,0.1327,541521.5,61554.0,114314.6,1.733,1.712,11.37,3
F_HET_1,HET,1800,600,0.1187,490314.3,58971.0,88456.5,1.385,1.685,12.03,1
F_HET_1,HET,1800,800,0.1035,508640.5,61993.6,118351.4,1.75,1.758,12.19,3
F_HET_1,HET,1800,1000,0.1072,573446.2,54425.8,114294.1,1.909,1.659,9.49,3
F_HET_1,HET,1800,1200,0.0611,583348.7,66870.4,114635.0,1.5,1.488,11.46,2
F_HET_1,HET,1800,1400,0.1306,608488.5,67011.2,93815.7,1.312,1.573,11.01,2
F_HET_1,HET,1800,1600,0.2178,606637.3,80364.2,85721.8,1.032,1.533,13.25,1
F_HET_1,HET,1800,1800,0.0908,670554.3,83555.8,147829.4,1.643,1.339,12.46,2
F_HET_1,HET,1800,2000,0.1481,551266.1,74851.0,102427.7,1.3,1.652,13.58,2
F_HET_1,HET,1800,2200,0.2212,502367.4,63310.3,92327.6,1.4,1.887,12.6,1
F_HET_1,HET,1800,2400,0.2008,557552.4,69734.4,101695.9,1.4,1.754,12.51,1
F_HET_1,HET,1800,2600,0.1983,563221.5,61771.3,105893.6,1.636,1.53,10.97,3
F_HET_1,HET,1800,2800,0.0603,434622.4,58054.1,67729.8,1.0,1.793,13.36,1
F_HET_1,HET,2000,0,0.0882,501450.9,59568.9,99281.5,1.5,1.687,11.88,3
F_HET_1,HET,2000,200,0.1782,476316.3,62190.4,91649.0,1.4,1.969,13.06,1
F_HET_1,HET,2000,400,0.1605,584494.4,61778.6,116289.1,1.778,1.548,10.57,3
F_HET_1,HET,2000,600,0.1213,506579.6,52887.4,115390.7,2.0,1.639,10.44,3
F_HET_1,HET,2000,800,0.1336,570417.1,65506.5,104810.3,1.5,1.516,11.48,2
F_HET_1,HET,2000,1000,0.1754,608597.9,53214.2,89799.0,1.588,1.569,8.74,3
F_HET_1,HET,2000,1200,0.1986,538119.9,67560.6,79310.2,1.125,1.88,12.55,1
F_HET_1,HET,2000,1400,0.245,529375.1,61910.2,71434.9,1.111,1.897,11.69,1
F_HET_1,HET,2000,1600,0.0744,560224.1,39223.1,141203.3,3.0,1.444,7.0,3
F_HET_1,HET,2000,1800,0.1229,519950.3,56979.3,94965.5,1.538,1.727,10.96,3
F_HET_1,HET,2000,2000,0.1128,516183.2,77602.9,103470.5,1.25,1.566,15.03,2
F_HET_1,HET,2000,2200,0.1731,603515.9,64040.7,94375.7,1.4,1.666,10.61,1
F_HET_1,HET,2000,2400,0.1628,577722.6,57323.3,114646.7,1.882,1.5,9.92,3
F_HET_1,HET,2000,2600,0.154,509054.3,60627.4,83362.7,1.294,1.672,11.91,1
F_HET_1,HET,2000,2800,0.0577,470951.7,70781.8,121340.2,1.5,1.958,15.03,3
F_HET_1,HET,2200,0,0.09,523494.9,84298.7,90783.2,1.0,1.737,16.1,1
F_HET_1,HET,2200,200,0.1429,447166.3,57170.4,77588.4,1.267,1.96,12.79,1
F_HET_1,HET,2200,400,0.1806,470118.4,64611.8,96917.6,1.429,1.788,13.74,1
F_HET_1,HET,2200,600,0.1159,551360.4,70491.6,125877.9,1.667,1.684,12.79,2
F_HET_1,HET,2200,800,0.1373,594845.3,59513.4,102023.0,1.6,1.552,10.0,3
F_HET_1,HET,2200,1000,0.2472,475468.7,59017.2,80263.4,1.308,2.35,12.41,0
F_HET_1,HET,2200,1200,0.2082,552751.2,61643.8,75653.7,1.174,1.651,11.15,1
F_HET_1,HET,2200,1400,0.1383,559967.2,50642.5,135046.8,2.462,1.586,9.04,3
F_HET_1,HET,2200,1600,0.1831,563376.2,89233.6,108355.1,1.172,1.698,15.84,2
F_HET_1,HET,2200,1800,0.1537,517037.1,64531.9,106287.8,1.556,1.671,12.48,3
F_HET_1,HET,2200,2000,0.1674,579969.8,52272.1,118483.5,2.125,1.657,9.01,3
F_HET_1,HET,2200,2200,0.162,500906.8,61216.2,90023.8,1.389,1.782,12.22,1
F_HET_1,HET,2200,2400,0.1555,556009.8,48768.8,105040.6,2.0,1.591,8.77,3
F_HET_1,HET,2200,2600,0.1049,581414.1,77866.7,77866.7,0.933,1.661,13.39,1
